,listing_url,host_id,description,host_name,DISTRICTE,latitude,longitude,minimum_nights,last_review,calculated_host_listings_count,availability_365,NUMERO_REGISTRE_GENERALITAT,Tipo,TipoDescripcion,CODI_DISTRICTE,CODI_BARRI
229,https://www.airbnb.com/rooms/669799,3392163,"2 habitaciones, piso amplio y localización perfecta en el Borne, a 10 minutos de Plaza Cataluña, 2 minutos del metro Jaume I. El piso es antiguo y tiene su encanto. Está permitido fumar en el salón. Puedo ayudar con cualquier consejo sobre la ciudad. Se pide respetar la propiedad y no hacer ruidos molestos a horas inapropiadas.<br /><br /><b>The space</b><br />Hello! I invite you to my colourful and typical apartment with a perfect location on the heart of Barcelona. It's 10 minutes from Plaza Cataluña, 7 minuts from Ramblas, next to calle Princesa, 2 minutes from Jaume I metro stop, 10 minutes from Arco de Triunfo. The floor is old and it has its charm. <br /><br />In addition, in the lounge, there is a balcony from where you can enjoy the whole street because it's perpendicular. The floor is big, there is a living room, too. There is a bathroom with shower. <br /><br />There's a bedroom with 16m2 and balcony another one without window very quite with double bed in a structure wood an",Luisa,CIUTAT VELLA,41.38412,2.17894,5,2022-10-02,1,103,Nulo,0,Nulos-Ilegales,1,2.5
237,https://www.airbnb.com/rooms/671458,3403659,".<br /><br /><b>The space</b><br />Nice and bright apartment in the heart of Barcelona, quarter Poble Sec. Located in a quiet street, but in a very  lively area (known for its theaters and concert halls), close to the old town, Plaça d'Espanya (with direct connections to the airport and train net RENFE), Montjuic and the Barcelona fair. Surrounded by all amenities (bars, restaurants, supermarket, pharmacy, ...). 5 minutes away from metro line L-3, stop Poble Sec. The building has elevator. <br /><br />Apartment of 48 m2, on the fourth floor: very bright living room with double sofa bed, 2 balconies and TV. Fully equipped kitchen (oven, microwave, refrigerator with freezer, coffee maker ...) with balcony. 1 room with double bed. Bathroom with bath and washing machine. Wi-Fi. Heating. Very sunny apartment in an excellent position to discover the city HUTB-004204. <br />Due to the coronavirus, we’re taking extra care to disinfect frequently touched surfaces between reservations and we are",Montserrat,SANTS-MONTJUÏC,41.37353,2.16131,3,2022-10-27,6,320,Nulo,0,Nulos-Ilegales,3,14.5
259,https://www.airbnb.com/rooms/684643,3297466,"EL APARTAMENTO TIENE 120 MTS, 3 HABITACIONES COMPLETAS, UN SALÓN COMEDOR MUY AMPLIO, UNA TERRAZA EXTERIOR, UNA COCINA OFFICE Y UN BAÑO COMPLETO.  ES MUY TRANQUILO Y SILENCIOSO, TIENE CALEFACCIÓN Y AIRE ACONDICIONADO, LAS HABITACIONES TIENEN PARQUET Y SON MUY COMPLETAS, LAS VENTANAS SON DE DOBLE ACRISTALAMIENTO, UN LUGAR TRANQUILO PARA TRABAJAR ESTUDIANDO O LEER UN LIBRO EN EL SOFÁ, EN GENERAL TODO EL APARTAMENTO ES MUY ACOGEDOR Y SON 3 HUÉSPEDES QUE PUEDEN INTERACTUAR, COMO UNA NUEVA FAMILIA.<br /><br /><b>The space</b><br />LA HABITACIÓN ESTÁ PENSADA PARA EL DESCANSO YA SEAN PARA ESTANCIA CORTA O LARGA. ES MUY CÓMODA Y COMPLETA, CAMA INDIVIDUAL CON MESITA DE NOCHE, ARMARIO PARA COLGAR Y GUARDAR LA ROPA, ESCRITORIO CON SILLA GIRATORIA, UNA VENTANA DE PVC DOBLE ACRISTALAMIETO DE ESTILO INGLÉS, PUERTA DE MADERA LACADA Y EL SUELO DE PARQUET.<br /><br /><b>Guest access</b><br />CADA HUESPED TIENE UNA HABITACIÓN DONDE NO PUEDE ACCEDER NADIE, LA HABITACIÓN ES INDIVIDUAL, EL RESTO DEL PISO SE",Rosa Leni,EIXAMPLE,41.38528,2.147,7,2022-11-18,2,251,Nulo,0,Nulos-Ilegales,2,7.5
266,https://www.airbnb.com/rooms/884420,4597849,"<b>The space</b><br />This cosy, bright apartment is set just 200 metres from FC Barcelona’s Camp Nou Stadium. It offers comfortable accommodation with free Wi-Fi, 3 minutes’ walk from Collblanc Metro Station. <br />  <br />The 3-bedroom Apartament Conde Güell features modern décor, wooden floors and views of an interior patio. The lounge-diner has a TV and sofa, while the kitchen includes a washing machine, microwave and kettle. <br />  <br />There are numerous bars, restaurants and shops within 5 minutes’ walk and you can walk to Sants Market in 10 minutes. Buses to the centre pass just 100 metres away. <br />  <br />The Conde Güell is 15 minutes’ walk from the impressive Pedralbes Royal Palace and gardens. Sants Train Station is 3 metro stops away and Barcelona El Prat Airport is 20 minutes’ drive away.",Ofelia,LES CORTS,41.37842,2.12354,5,2022-10-30,1,122,Nulo,0,Nulos-Ilegales,4,20.0
274,https://www.airbnb.com/rooms/807572,4249440,"Fantastic apartment situated in a classic building in the city center.<br />This double room have terrace,study table and big closet.<br />Very sunny apartment. Two fully equipped bathrooms<br />5 minutes from metro station.<br /><br /><b>The space</b><br />2 rooms available  in a 110m2 apartment. (1 doble room with  restroom,2 doble room with terrace ).Rooms available from first off December. <br /> <br />Very sunny apartment. 3erloor with elevator and doorman. The apartment has 3 rooms, 2 fully equipped bathrooms, living room, dining room, kitchen and terrace. All the rooms have central heating  Wi-Fi, etc. <br /> <br /> Im looking for two quiet and neat people to share the apartment. The rooms are furnished with a doble bed . <br />The apartment is located on  ARIBAU Street in the center off the city,there are a lot restaurants,close to paseei de gracia with all the shops off the city ,museums, 5 minutes from FFCC Catalunya ,Universitat,Provenca station  area without noisy and in th",Miguel,EIXAMPLE,41.38777,2.16055,15,2022-10-30,2,253,Nulo,0,Nulos-Ilegales,2,7.5
331,https://www.airbnb.com/rooms/959840,5223863,"Rustic penthous with old beams,old ceramic floorin eclectic stile.<br />althrough the rooms are not exactly big, they are equiped with toilet and showerand  the entire house is at your dispossal.<br />a big terrace overloocking at Plaza Reial is agreat place to make your first contact with the town and his entourage landscape.<br />Breakfast-Buffet from 8h AM (...if you need it before, please ask it in advance)...<br /><br /><b>The space</b><br />Room ""Terrace"", in pure ""Gotic Center"".<br />Penthouse in Plaza Reial nº 10, 3rd floor without a lift, (although it is worth climbing). WE help if you will need.<br />BIG terrace overlooking plaza Reïal with ""chill-out  time"" at sunset.<br />Posible 3 double bedrooms, Room 1 has private toilet and terrace..<br />Breakfast buffet.<br />Tourist orientation if the need.<br />Super Central, but quiet as the penthouse.<br />.. .to 10 min walking distance to the beach. <br />There are dog, but pets are not accepted, you will take care and pamper.<br",Mercedes,CIUTAT VELLA,41.37923,2.17451,1,2022-11-27,3,119,Nulo,0,Nulos-Ilegales,1,2.5
381,https://www.airbnb.com/rooms/1204581,700165,"ROOM #2 better and bigger than typical Japanese ""cápsula"" room smaller than ""standard"" single room. (see picture before book, ROOM IS REALLY SMALL)<br /><br /><b>The space</b><br />On vacation? and business? Perhaps a student? or just passing through ..! <br />is just what you need ..! =) I' renting a room per days, weeks or monthly <br /> <br />Rent a quiet and comfortable rooms in a beautifully renovated apartment. <br /> <br />ROOMS DESCRIPTIONS: <br /> <br /> <br />ROOM #1 <br />its a DOUBLE room, 1 double bed  (per 2 persons)  the room is very confortable and also have clean towels, <br /> <br />the most important thing!!!  <br /> <br />Its a small flat with only one bathroom for all guests and I and I like  to keep everything clean, then  DRUNK PEOPLE ARE NOT ALLOWED IN MY HOME, PLEASE!! THANKS!!  <br />if you are the person who like drink and drink without any control until get sick, this is not your place!! <br />sorry!! ;D <br /> <br />EXTRA SERVICES: (optional) <br /> <br />-",Wonderful Barcelona,EIXAMPLE,41.38233,2.15827,3,2022-11-07,4,81,Nulo,0,Nulos-Ilegales,2,7.5
419,https://www.airbnb.com/rooms/1018647,5606008,"Enjoy this amazing penthouse and a 360 view of the city from the spacious terraces. Only 5 mins walking to the Camp Nou, 8 mins to the city center by metro L5, which is just 30 seconds away from the apartment.<br /><br />It is a local district with many shops, restaurants (local and international) and coffee shops. You are close to everything but not living in the crowded areas of tourists. Live like a local and enjoy the sunshine.<br /><br />Please, read the information regarding the flat, its policy and taxes.<br /><br /><b>The space</b><br />Beautiful very bright penthouse with two large terraces. The flat is located two blocks from the CAMP NOU (FC Barcelona) and with the metro right next to it. It is located in a neighborhood with a lot of life during the day (restaurants, shops, markets, etc.) and quiet at night.<br /><br />Opposite the apartment is the Collblanc Municipal Market, one of the oldest and most beautiful in the city. Crossing the avenue begins a pedestrian street wit",Jordi,LES CORTS,41.37588,2.12195,4,2022-11-18,1,210,Nulo,0,Nulos-Ilegales,4,20.0
433,https://www.airbnb.com/rooms/1157783,1881106,"I offer a private room with WIFI, in a key point of Barcelona, ​​L'EIXAMPLE ESQUERRE, In a central and commercial district. It is a comfortable room, in an apartment where you can rest and get to know Barcelona on foot, as it is very close to Plaza Catalunya, and Montjuic, which is a historic and mountain neighborhood, being an excellent vantage point to contemplate the city.<br /><br />The room has WIFI, use of refrigerator, kitchen for breakfast and simple food.<br /><br /><b>Other things to note</b><br />IMPORTANT: Please provide the arrival time at the moment of booking. If you do not know exactly, please give an approximate time.",Maria Rita,EIXAMPLE,41.38019,2.14944,2,2022-11-20,1,38,Nulo,0,Nulos-Ilegales,2,7.5
480,https://www.airbnb.com/rooms/1284165,1037730,"Precioso Apartamento in lesseps , 1 balcon en apartamiento .<br /> Localizado a  lado varios restaurantes y tiendas,  metro lesseps y muy cerca de Paseo de Gracia,<br />WIFI  disponible ,<br /><br /><b>Guest access</b><br />All available<br /><br /><b>Other things to note</b><br />Perfecta localizacion para vesitar Barcelona sagrada familia . Parque guel",Elisagela Cristina,GRÀCIA,41.40739,2.15211,2,2022-11-26,1,313,Nulo,0,Nulos-Ilegales,6,30.0
538,https://www.airbnb.com/rooms/1604559,8548700,"This cozy flat is located in the charming neighbourhood of Poble Sec. 10 min walk to La Rambla and 10 min walk from Pl. Espana. Partly renovated kitchen & bathroom, everything working perfectly. Bedroom linked to the livingroom making it open spaced.<br /><br /><b>The space</b><br />Hello! I'm renting out my flat located in the charming neighbourhoods of Poble Sec. 10 min walking from Plaza Espana and 10 min walking to la Rambla. Partly renovated kitchen & bathroom.<br />Everything works perfectly.<br /> <br />This cozy flat is an open space apartment with the bedroom linked to the living area and kitchen located on the other side of the apartment by the entrance. The bedroom has a queen size bed, perfect for a couple coming over the weekend. The kitchen is fully equiped with all facilities needed as fire stove, mini oven, fridge/freezer, pots for cooking, washing machine, plate, cups etc.<br /><br />The bathroom you find the shower, wc, mirror ( and hair dryer if needed).<br /><br />T",Lyonel,SANTS-MONTJUÏC,41.37336,2.1647,2,2022-11-27,1,251,Nulo,0,Nulos-Ilegales,3,14.5
571,https://www.airbnb.com/rooms/1448933,3403659,"Full renovated apartment, cozy and warm, in the city centre, near Sagrada Familia. The apartment is located in front of an urban vegetable garden, so it's very bright and quite. All kind of services (supermarket, bars,...) around. Metro station Monumental L-2, 250 m away. Parking 50 m away. Bus that will bring you directly to the beach, 30 m away.<br /><br /><b>The space</b><br />Apartment of 75 m2, in the 3th floor, with lift: living room with TV, DVD player and divanbed. Fully equiped kitchen (microwave, fridge, coffe machine...). 1 double bed room (beds can be put apart). 1 bedroom with single bed (can be converted in a double one). 1 single bedroom. Bathroom with shower. Apartment provides: air conditioning, wifi, washing machine, hair dryer.<br />Children friendly.<br />Check-in between 24:00 and 1:00, extra charge 20 e.<br />From 1:00, 30 e extra.<br />GROPS OF YOUNG PEOPLE WILL BE ONLY ACCEPTED BY REQUEST.<br />Apartment with touristic licence, HUTB- 007599.",Montserrat,EIXAMPLE,41.403168,2.18135,3,2022-11-23,6,318,Nulo,0,Nulos-Ilegales,2,7.5
582,https://www.airbnb.com/rooms/1847236,9649482,"Hi, I'm Peter. I'm a dance teacher, very friendly and gay.  Spend your holiday at the best part of Barcelona, in the very center and close to the beach. I'm very patient, hard-working and I love the tidiness and cleanness!<br /><br /><b>The space</b><br />Hi, I'm Peter. I'm a dance teacher, very friendly and gay. I lived in many places in Barcelona and finally I found the best place (in the nicest surrounding but in the very center, a safe and calm area). I work a lot so I'm rarely at home. I'm happy to rent the room to know people all over the world and make friendship and offer a calm and nice place to people who wish to spend their holidays in this wonderful city with all the comfort they should need with nice and friendly hosts. :)<br />The room has double bed, very clean and tidy flat with everything you could need to spend some wonderful days in Barcelona. Free wifi and private swimming pool in the heart of Barcelona (Plaza Espanya).<br />Very calm area, perfect communication wit",Peter,SANTS-MONTJUÏC,41.3734,2.14818,3,2022-11-12,1,354,Nulo,0,Nulos-Ilegales,3,14.5
631,https://www.airbnb.com/rooms/1691556,700165,"<b>The space</b><br />HELLO PEOPLE :=) <br />are you on vacation? or business? Perhaps a student? or just passing through ..! is just what you need ..! =) I' renting a room per days, weeks or monthly Rent a quiet and comfortable rooms in a beautifully renovated apartment.<br />ROOMS DESCRIPTIONS: ROOM #1 It is a double room with a double bed and closet ideal for relaxing after a long day!<br /><br />In summer could has different price, depend of the season or week events in BCN.<br /><br />The most important thing!!! the flat is my home, I'm opening the doors of my home for you, please take care of it as yours, keep everything clean and respect the place.  <br />Only one rule we have, DRUNK PEOPLE ARE NOT ALLOWED IN MY HOME, PLEASE!! THANKS!! if you are the person who like drink and drink without any control until get sick, this is not your place!! sorry!! ;D<br /><br />EXTRA SERVICES: <br />Kitchen not available for cooking  but  can used the refrigerator use .<br /><br />FREE SERVICE",Wonderful Barcelona,EIXAMPLE,41.38317,2.16047,3,2022-10-14,4,81,Nulo,0,Nulos-Ilegales,2,7.5
653,https://www.airbnb.com/rooms/1737505,5092573,"The apartment is situated in a superb location in between the Olimpic Port and the quaint area of Poble Nou.<br />The balcony looks out on to the street and has a side view of the sea which is a 3 minute walk away. It is south facing, therefore has sunlight all day. Beautifully decorated.<br />Very close to restaurants, bars and tourist attractions. Is easily accessible to other parts of the city by bus, underground and or of course taxi.<br /><br /><b>The space</b><br />Our apartment mixes original features with modern designs.  You will find everything you need to make your stay a pleasant and memorable one.  Located in probably the most sort after area in Barcelona.<br /><br /><b>Guest access</b><br />We can offer you a daily cleaning service and guided tours................<br /><br /><b>Other things to note</b><br />The best beach in Barcelona is at the end of the Street, 150 meters walk.<br /><br />It is possible to park your car for free on a wasteland approximately 15 minute wa",Jane,SANT MARTÍ,41.39644,2.19862,1,2022-11-28,1,200,Nulo,0,Nulos-Ilegales,10,68.5
856,https://www.airbnb.com/rooms/2951974,3403659,"Gorgeous penthouse in the downtown area, a few meters away from Sagrada Familia. Very brightl and with a fantastic terrace. About 100 meters away from the Verdaguer subway station (lines 4 and 5) and the Sagrada Familia station (lines 5 and 2). Supermarket, bars, restaurants and all kinds of services in the surrounding areas. The building has an elevator. It's a perfect situation for discovering the city. Parking house in front of the apartment (extra).<br /><br /><b>The space</b><br />The apartment is approximately 50 m2:  living-dining room with a sofa bed (1,35 m x 1,90 m), TV and exit towards a beautiful terrace with outside furniture and fantastic views. Fully-equipped open kitchen (refrigerator, microwave, electric coffee maker, toaster...). 1 bedroom with a double bed. 1 shower/WC. The apartment has a washing machine, hair dryer and WIFI internet.  <br />Apartment with touristic licence, HUTB-009639. <br />GROUPS OF YOUNG PEOPLE WILL ONLY BE ACCEPTED ON REQUEST.<br />Check-in be",Montserrat,EIXAMPLE,41.40225,2.17057,3,2022-11-27,6,287,Nulo,0,Nulos-Ilegales,2,7.5
897,https://www.airbnb.com/rooms/3184195,15422937,"Fantastic 2 bedroom apartment near the metro and Camp Nou!<br /><br /><b>The space</b><br />4 GUESTS 2 BEDROOMS 3 BEDS 1 BATHROOM<br />It is just as important to travel, as it is to arrive at your accommodation and feel that it is your rescue, a place where you feel safe, a place that allows you to rest and relax.<br />This newly renovated apartment has been designed to encourage relaxation, to be able to take off your shoes at the door, put on music and relax while having your favourite drink.<br />It is very close to the Barcelona Football ground Camp Nou as well as the metro and tram stations. It has two bedrooms and is fully furnished. Being on the top floor of the building, it has wonderful natural light that enters through its windows, as well as the tranquility of getting away from the bustle of the streets in this great city.<br />- If you need a cot we can provide one for € 10 / day.<br />- There is also the possibility of parking the car if desired in the same building with d",Homing,LES CORTS,41.37693,2.11535,1,2022-09-30,1,341,Nulo,0,Nulos-Ilegales,4,20.0
918,https://www.airbnb.com/rooms/3218456,16296537,"Located in a strategic area of the city at Plaza España -20 minutes to Ramblas,full of restaurants and shops, beside the International Trade Faire of Barcelona and the Magic Fontain Montjuic .Next to the beach and very good comunicated, WIFI<br /><br /><b>The space</b><br />Apartment with three spacious and quiet rooms, with a bathroom with shower recently renovated, a spacious living room, with two of the three exterior and very sunny rooms, large hallway and a fully equipped kitchen. The apartment is right in front of a park and with excellent connections to visit any part of Barcelona in a few minutes.<br />Very touristy but very quiet area ideal for families, couples or group of friends. Located in the center of Barcelona next to the Las Arenas shopping center a few minutes from the Fuentes de Montjuic and about 20 minutes from Las Ramblas, Paseo de Gracia, etc. Fully recommended after several years of good evaluations.<br /><br /><b>Guest access</b><br />Fully independent apartmen",Daniel,EIXAMPLE,41.3767,2.15107,2,2022-12-03,2,194,Nulo,0,Nulos-Ilegales,2,7.5
953,https://www.airbnb.com/rooms/3277794,16569867,"Habitación céntrica. Es pequeña, pero tiene un armario grande que permite organizar las maletas. Barrio bien conectado con metro, trenes y autobuses; a 20' del aeropuerto (con Aerobus). A 5' en metro de Pl. Catalunya y a 15 de la estación de Sants (a pie). Zona de gran atractivo turístico: Centro comercial Arenas, varios cines cercanos, Fuente mágica de Montjuic, Fira de Barcelona, etc.<br /><br /><b>The space</b><br />LA HABITACION:<br />está equipada con una cama doble, armario y mesa.<br />La ropa de cama y toallas están incluidas.<br />Dispongo de VENTILADOR o CALEFACCIÓN, si lo solicitas.<br />Conexión wifi.<br /><br />EL EDIFICIO:<br />es moderno y cuenta con ascensor.<br /><br /><b>Guest access</b><br />Puedes utilizar el BAÑO y la COCINA. Tendrás un espacio en la NEVERA y en el armario para guardar tus alimentos y cocinar.<br />Si teletrabajas o tele-estudias, podrás utilizar el ESCRITORIO de la habitación de invitados cuando esté libre.<br />WI-FI en todas las habitaciones.",Lola,EIXAMPLE,41.3786,2.15,3,2022-11-14,2,151,Nulo,0,Nulos-Ilegales,2,7.5
960,https://www.airbnb.com/rooms/3481102,3041368,"This room has two single beds and an extra bed is also available upon request. There is a private bathroom and shower, private lockers and free wifi.<br /><br /><b>The space</b><br />Room with private bathroom. This room has coffee maker, kettle and hot chocolate. Also the guests receive a free bottle of cava at the check in.<br /><br /><b>Guest access</b><br />The hostel has a common kitchen with electric oven and microwave. Chill out room with TV.<br />There is hair dryer, curler and straightener for clients use (ask in reception)",Inder,EIXAMPLE,41.39264,2.17332,1,2022-10-15,3,106,Nulo,0,Nulos-Ilegales,2,7.5
980,https://www.airbnb.com/rooms/3665380,18585228,"Habitación con cama doble, baño grande compartido, Buena ubicación frente al metro L5 (Sant Pau/Dos de Maig) y a 5min de La Sagrada Familia",Pi,EIXAMPLE,41.41136,2.17618,2,2022-08-22,1,70,Nulo,0,Nulos-Ilegales,2,7.5
1006,https://www.airbnb.com/rooms/3530614,2107488,"I am Luis i am offering a Beautiful room in the heart of BCN, walking distance to metro, bus and train stations. Close to exclusive shopping areas, restaurants, bars and many of the city attractions (Casa Batlló, La <br />Pedrera, Ramblas, Sagrada Familia, etc. )",Luis,EIXAMPLE,41.38924,2.16325,1,2022-11-26,4,71,Nulo,0,Nulos-Ilegales,2,7.5
